,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
3826,3826,In The Valley Back Home,['In The Valley Back Home'],1766,FM,['FM'],[None],,,,[None],,
3836,3836,On The Strip,['On The Strip'],1486,Paul Nicholas,['Paul Nicholas'],[None],,,,[None],,
3839,3839,Guust Flater En De Marsupilami - Wij Zijn Twee Vrienden,"['Guust Flater En De Marsupilami - Wij Zijn Twee Vrienden', 'Guust Flater En De Marsupilami ']",1296,Dennie Christian,['Dennie Christian'],[None],,,,[None],,
3844,3844,No No Sheriff,['No No Sheriff'],1774,Emly Star,['Emly Star'],[None],,,,[None],,
3847,3847,Give Love A Second Chance,['Give Love A Second Chance'],1752,Luisa Fernandez,['Luisa Fernandez'],[None],,,,[None],,
3850,3850,Ik Zal Geen Traan Meer Om Je Laten,['Ik Zal Geen Traan Meer Om Je Laten'],1778,De Wiko's,"[""De Wiko's""]",[None],,,,[None],,
3874,3874,Malibu,['Malibu'],1472,Patricia Paay,['Patricia Paay'],[None],,,,[None],,
3892,3892,Tango Motion,['Tango Motion'],1792,The Millionaires,['The Millionaires'],[None],,,,[None],,
3908,3908,Holland Disco,['Holland Disco'],1802,The New Dutch Organ Group,['The New Dutch Organ Group'],[None],,,,[None],,
3923,3923,Ik Ben Verliefd Op John Travolta,['Ik Ben Verliefd Op John Travolta'],1809,Sandy,['Sandy'],[None],,,,[None],,
3925,3925,Meissie Van Alle Dag (Mina),"['Meissie Van Alle Dag (Mina)', 'Meissie Van Alle Dag ', 'Mina', 'Meissie Van Alle Dag Mina']",1811,Gebroeders Grimm,['Gebroeders Grimm'],[None],,,,[None],,
3926,3926,Jodelodelodelodelohitie,['Jodelodelodelodelohitie'],788,De Twee Pinten,['De Twee Pinten'],[None],,,,[None],,
3928,3928,The Best Friend I Know,['The Best Friend I Know'],1812,Patricia Paay & Yvonne Keeley,['Patricia Paay & Yvonne Keeley'],[None],,,,[None],,
3931,3931,'k Heb Hele Grote Bloemkoole,"[""'k Heb Hele Grote Bloemkoole""]",1813,André Van Duin (als Meneer De Bok),['André Van Duin (als Meneer De Bok)'],[None],,,,[None],,
3933,3933,Anyway You Do It,['Anyway You Do It'],1814,Liquid Gold,['Liquid Gold'],[None],,,,[None],,
3934,3934,Late Night Show,['Late Night Show'],1815,Tiffany ((NLD)),['Tiffany ((NLD))'],[None],,,,[None],,
3936,3936,Nee Daar Trappen We Niet In,['Nee Daar Trappen We Niet In'],1817,Vader Abraham met De Ruimtesmurfen m.m.v. 5 P.K.,['Vader Abraham met De Ruimtesmurfen m.m.v. 5 P.K.'],[None],,,,[None],,
3938,3938,Maak Van Uw Scheet Een Donderslag!,['Maak Van Uw Scheet Een Donderslag!'],1819,De Breedbekkikkers,['De Breedbekkikkers'],[None],,,,[None],,
3940,3940,Toppers Van Toen,['Toppers Van Toen'],1820,Robert Paul,['Robert Paul'],[None],,,,[None],,
3945,3945,Kant Aan M'n Broek,"[""Kant Aan M'n Broek""]",1823,Rita Corita,['Rita Corita'],[None],,,,[None],,
3963,3963,The Wild Places,['The Wild Places'],1832,Duncan Browne,['Duncan Browne'],[None],,,,[None],,
3981,3981,Opzij,['Opzij'],1840,De Wonderlijke Avonturen Van Herman Van Veen,['De Wonderlijke Avonturen Van Herman Van Veen'],[None],,,,[None],,
3983,3983,The Story Of Buddy Holly,['The Story Of Buddy Holly'],1841,Familee,['Familee'],[None],,,,[None],,
3989,3989,Room With A View,['Room With A View'],1844,Deco,['Deco'],[None],,,,[None],,
3997,3997,Jantje's S.O.S.,"[""Jantje's S.O.S.""]",1848,Arno & Gradje,['Arno & Gradje'],[None],,,,[None],,
4003,4003,Ik Wil Jou,['Ik Wil Jou'],1852,Polle Eduard,['Polle Eduard'],[None],,,,[None],,
4006,4006,Turn The Music Up!,['Turn The Music Up!'],1853,The Players Association,['The Players Association'],[None],,,,[None],,
4019,4019,Music Machine,['Music Machine'],1860,Inner Circle,['Inner Circle'],[None],,,,[None],,
4025,4025,'k Heb De Mot In Me Lijf,"[""'k Heb De Mot In Me Lijf""]",1863,Paul Boey,['Paul Boey'],[None],,,,[None],,
4043,4043,Oh Luister Toch,['Oh Luister Toch'],347,Ben Cramer,['Ben Cramer'],[None],,,,[None],,
4044,4044,We Gotta Get Out Of This Place,['We Gotta Get Out Of This Place'],1447,Gilla,['Gilla'],[None],,,,[None],,
4048,4048,IntroDisco,['IntroDisco'],1872,Discothèque,['Discothèque'],[None],,,,[None],,
4049,4049,As Long As It's Love,"[""As Long As It's Love""]",1873,Theo Vaness,['Theo Vaness'],[None],,,,[None],,
4053,4053,Hacka-Tacka Music,"['Hacka-Tacka Music', 'Hacka']",1876,Baba & Roody,['Baba & Roody'],[None],,,,[None],,
4061,4061,Back To Boogie,['Back To Boogie'],1881,Patrick Hernandez and Hervé Tholance,['Patrick Hernandez and Hervé Tholance'],[None],,,,[None],,
4064,4064,Rendezvous 6:02,['Rendezvous 6:02'],1882,UK,['UK'],[None],,,,[None],,
4068,4068,Sunburn,['Sunburn'],1884,Graham Gouldman,['Graham Gouldman'],[None],,,,[None],,
4069,4069,Aan De Grens Van De Duitse Heuvelen,['Aan De Grens Van De Duitse Heuvelen'],1885,The Sunstreams,['The Sunstreams'],[None],,,,[None],,
4077,4077,Canyon To Canyon,['Canyon To Canyon'],1886,Gus Williams,['Gus Williams'],[None],,,,[None],,
4078,4078,All The President's Men,"[""All The President's Men""]",1887,Carlsberg,['Carlsberg'],[None],,,,[None],,
4087,4087,How Do You Mend A Broken Heart,['How Do You Mend A Broken Heart'],1584,Guys 'n' Dolls,"[""Guys 'n' Dolls""]",[None],,,,[None],,
4104,4104,The Queen Of Santa Maria,['The Queen Of Santa Maria'],1792,The Millionaires,['The Millionaires'],[None],,,,[None],,
4122,4122,You Make It Alright,['You Make It Alright'],1903,Jacques Kloes m.m.v. Patricia Paay,['Jacques Kloes m.m.v. Patricia Paay'],[None],,,,[None],,
4126,4126,999,['999'],1905,Vader Abraham & 5 PK,['Vader Abraham & 5 PK'],[None],,,,[None],,
4133,4133,Doe De Hoela Hoep,['Doe De Hoela Hoep'],1809,Sandy,['Sandy'],[None],,,,[None],,
4145,4145,Worlds Apart,['Worlds Apart'],1913,The Sinceros,['The Sinceros'],[None],,,,[None],,
4151,4151,On Stage : Them Heavy People,['On Stage : Them Heavy People'],1699,Kate Bush,['Kate Bush'],[None],,,,[None],,
4154,4154,We Got The Whole World In Our Hands,['We Got The Whole World In Our Hands'],1917,Nottingham Forest with Paper Lace,"['Nottingham Forest with Paper Lace', 'Nottingham Forest ']",[None],,,,[None],,
4159,4159,It's All In The Bible,"[""It's All In The Bible""]",1780,Snoopy,['Snoopy'],[None],,,,[None],,
4161,4161,Wiggle And A Giggle All Night,['Wiggle And A Giggle All Night'],1920,Cory Daye,['Cory Daye'],[None],,,,[None],,
4189,4189,"Thema Uit ""De Verlaten Mijn"" - Einsamer Hirte","['Thema Uit ""De Verlaten Mijn"" - Einsamer Hirte', 'Thema Uit ""De Verlaten Mijn"" ']",1933,Gheorghe Zamfir met Orkest o.l.v. James Last,['Gheorghe Zamfir met Orkest o.l.v. James Last'],[None],,,,[None],,
4195,4195,I Do Rock 'n Roll,"[""I Do Rock 'n Roll""]",729,Golden Earring,['Golden Earring'],[None],,,,[None],,
4204,4204,Het Leven Is Goed In M'n Brabantse Land,"[""Het Leven Is Goed In M'n Brabantse Land""]",1939,Oh Sixteen-Oh Seven met Zang Van Thijs v.d. Molen,"['Oh Sixteen-Oh Seven met Zang Van Thijs v.d. Molen', 'Oh Sixteen', 'Oh Si']",[None],,,,[None],,
4218,4218,Presidential Suite,['Presidential Suite'],1815,Tiffany ((NLD)),['Tiffany ((NLD))'],[None],,,,[None],,
4220,4220,Tranen Heb Ik Om Jou Gehuild,['Tranen Heb Ik Om Jou Gehuild'],1778,De Wiko's,"[""De Wiko's""]",[None],,,,[None],,
4223,4223,Alie Van De Wegenwacht,['Alie Van De Wegenwacht'],1427,Corrie Van Gorp,['Corrie Van Gorp'],[None],,,,[None],,
4224,4224,Het Grote Sprookjeslied,['Het Grote Sprookjeslied'],1947,"Corry, Bonnie St. Claire, Sandy, Alexander Curly, Willem Duyn, Nico Haak","['Corry, Bonnie St. Claire, Sandy, Alexander Curly, Willem Duyn, Nico Haak', 'Corry', 'Corry, Bonnie St. Claire, Sandy, Ale']",[None],,,,[None],,
4232,4232,"Rain, Snow And Ice","['Rain, Snow And Ice']",1780,Snoopy,['Snoopy'],[None],,,,[None],,
4234,4234,It's All Rite ......,"[""It's All Rite ......""]",1953,Barbara Markay,['Barbara Markay'],[None],,,,[None],,
4237,4237,"Oei, Oei, Dat Was Lekker!","['Oei, Oei, Dat Was Lekker!']",1956,Sjef Van Oekel,['Sjef Van Oekel'],[None],,,,[None],,
4249,4249,Tutti Ragazzi,['Tutti Ragazzi'],1962,The Nits,['The Nits'],[None],,,,[None],,
4255,4255,Let'Go Rock And Roll,"[""Let'Go Rock And Roll""]",1401,KC and The Sunshine Band,['KC and The Sunshine Band'],[None],,,,[None],,
4266,4266,Dit Is De Zender Van Illegale Joop,['Dit Is De Zender Van Illegale Joop'],1639,Dingetje,['Dingetje'],[None],,,,[None],,
4274,4274,Repper De Klep,['Repper De Klep'],1975,Danny Boy,['Danny Boy'],[None],,,,[None],,
4294,4294,Our Song,['Our Song'],1584,Guys 'n' Dolls,"[""Guys 'n' Dolls""]",[None],,,,[None],,
4308,4308,You Name It... I'll Do It,"[""You Name It... I'll Do It""]",1992,Chips,['Chips'],[None],,,,[None],,
4313,4313,Crazy Guitar,['Crazy Guitar'],1995,Hank The Knife & The Crazy Cats,['Hank The Knife & The Crazy Cats'],[None],,,,[None],,
4320,4320,"Ravel's Bolero - Love Theme From ""10""","['Ravel\'s Bolero - Love Theme From ""10""', ""Ravel's Bolero ""]",1998,Thijs Van Leer,['Thijs Van Leer'],[None],,,,[None],,
4322,4322,Pierrot,['Pierrot'],751,Bonnie St. Claire,['Bonnie St. Claire'],[None],,,,[None],,
4328,4328,Girls And Cadillacs,['Girls And Cadillacs'],1122,Albert West,['Albert West'],[None],,,,[None],,
4334,4334,World At War,['World At War'],2001,Dr. Pop,['Dr. Pop'],[None],,,,[None],,
4342,4342,Sjooh Sjooh Sugar,['Sjooh Sjooh Sugar'],1536,Champagne,['Champagne'],[None],,,,[None],,
4343,4343,Alles Is Anders,['Alles Is Anders'],2003,Ben Cramer m.m.v. Trio Thessaloniki,['Ben Cramer m.m.v. Trio Thessaloniki'],[None],,,,[None],,
4346,4346,Bedankt Piraten,['Bedankt Piraten'],1049,Vader Abraham,['Vader Abraham'],[None],,,,[None],,
4357,4357,Hollywood Seven,['Hollywood Seven'],2007,Alides Hidding,['Alides Hidding'],[None],,,,[None],,
4364,4364,"Yet, I Know","['Yet, I Know']",2013,Jimmy Frey,['Jimmy Frey'],[None],,,,[None],,
4366,4366,J'veux De L'amour,"[""J'veux De L'amour""]",2014,Raymond Van Het Groenewoud & The Centimeters,['Raymond Van Het Groenewoud & The Centimeters'],[None],,,,[None],,
4370,4370,Rock Me Up A Mountain,['Rock Me Up A Mountain'],2016,Anita Meijer,['Anita Meijer'],[None],,,,[None],,
4408,4408,John And Mary,['John And Mary'],1728,Robert Palmer,['Robert Palmer'],[None],,,,[None],,
4420,4420,Love Lost In A Day,['Love Lost In A Day'],1584,Guys 'n' Dolls,"[""Guys 'n' Dolls""]",[None],,,,[None],,
4422,4422,De Mijnwerker,['De Mijnwerker'],1594,De Havenzangers,['De Havenzangers'],[None],,,,[None],,
4424,4424,Cr-Cr-Cr-Cry To Me,"['Cr-Cr-Cr-Cry To Me', 'Cr']",2038,Precious Wilson,['Precious Wilson'],[None],,,,[None],,
4436,4436,Blind Date,['Blind Date'],2040,Ginger,['Ginger'],[None],,,,[None],,
4438,4438,The Dreammachine,['The Dreammachine'],1868,Dolly Dots,['Dolly Dots'],[None],,,,[None],,
4440,4440,Don't Come Stoned And Don't Tell Trude!,"[""Don't Come Stoned And Don't Tell Trude!""]",2042,Max 'n Specs,"[""Max 'n Specs"", 'Ma']",[None],,,,[None],,
4441,4441,Don't Leave Tonight,"[""Don't Leave Tonight""]",2043,Conny Vandenbos In Duet met Janis Ian,['Conny Vandenbos In Duet met Janis Ian'],[None],,,,[None],,
4442,4442,My Turn To Love You,['My Turn To Love You'],2044,Eddy Grant,['Eddy Grant'],[None],,,,[None],,
4462,4462,Mi Amor,['Mi Amor'],1405,Sommerset,['Sommerset'],[None],,,,[None],,
4464,4464,Save The Whale,['Save The Whale'],1359,Kamahl,['Kamahl'],[None],,,,[None],,
4469,4469,Mama He's A Soldier Now,"[""Mama He's A Soldier Now""]",828,Saskia & Serge,['Saskia & Serge'],[None],,,,[None],,
4471,4471,My Malaysia,['My Malaysia'],1856,Babe,['Babe'],[None],,,,[None],,
4479,4479,Een barg die hé un krul in de steert,['Een barg die hé un krul in de steert'],2053,De Aal,['De Aal'],[None],,,,[None],,
4486,4486,If You Feel The Funk,['If You Feel The Funk'],2055,La Toya Jackson,['La Toya Jackson'],[None],,,,[None],,
4490,4490,De Roos,['De Roos'],751,Bonnie St. Claire,['Bonnie St. Claire'],[None],,,,[None],,
4514,4514,Ik Ben Tamboer,['Ik Ben Tamboer'],1427,Corrie Van Gorp,['Corrie Van Gorp'],[None],,,,[None],,
4516,4516,Get Up,['Get Up'],2073,Maria Verano,['Maria Verano'],[None],,,,[None],,
4532,4532,Hokie Pokie (All Over The World),"['Hokie Pokie (All Over The World)', 'Hokie Pokie ', 'All Over The World', 'Hokie Pokie All Over The World']",2080,Big John Russel,['Big John Russel'],[None],,,,[None],,
4547,4547,Without Your Love,['Without Your Love'],1119,Roger Daltrey,['Roger Daltrey'],[None],,,,[None],,
4552,4552,Too Big For Words,['Too Big For Words'],2088,Tony Sherman & Julia Loko,['Tony Sherman & Julia Loko'],[None],,,,[None],,
4565,4565,There's A Song,"[""There's A Song""]",828,Saskia & Serge,['Saskia & Serge'],[None],,,,[None],,
4566,4566,Marionette,['Marionette'],2093,Maribelle,['Maribelle'],[None],,,,[None],,
4568,4568,(Walk Me Out In The) Morning Dew,"['(Walk Me Out In The) Morning Dew', 'Walk Me Out In The', 'Walk Me Out In The Morning Dew']",356,Long John Baldry,['Long John Baldry'],[None],,,,[None],,
4575,4575,Midnight Magic Maniac,['Midnight Magic Maniac'],1937,New Adventures,['New Adventures'],[None],,,,[None],,
4586,4586,People Alone,['People Alone'],2031,Randy Crawford,['Randy Crawford'],[None],,,,[None],,
4588,4588,What Becomes Of The Broken Hearted,['What Becomes Of The Broken Hearted'],2104,Dave Stewart - Guest Vocals Colin Blunstone,"['Dave Stewart - Guest Vocals Colin Blunstone', 'Dave Stewart ']",[None],,,,[None],,
4592,4592,Love Can Break Your Heart,['Love Can Break Your Heart'],2108,Powerplay,['Powerplay'],[None],,,,[None],,
4598,4598,Discotch,['Discotch'],2111,Voyage,['Voyage'],[None],,,,[None],,
4603,4603,Klap Maar In Je Handen [Live],['Klap Maar In Je Handen [Live]'],2114,Peter Koelewijn en Zijn Rockets,['Peter Koelewijn en Zijn Rockets'],[None],,,,[None],,
4607,4607,Merlijn,['Merlijn'],751,Bonnie St. Claire,['Bonnie St. Claire'],[None],,,,[None],,
4613,4613,Boemeladiboem,['Boemeladiboem'],2121,Sonja,['Sonja'],[None],,,,[None],,
4625,4625,Achterhoek Boogie,['Achterhoek Boogie'],1586,Normaal,['Normaal'],[None],,,,[None],,
4635,4635,Wij Zijn De Lachkabouters,['Wij Zijn De Lachkabouters'],1809,Sandy,['Sandy'],[None],,,,[None],,
4637,4637,We'll Go Out Tonight,"[""We'll Go Out Tonight""]",2132,Daniel Sahuleka,['Daniel Sahuleka'],[None],,,,[None],,
4641,4641,Tick-A-Thumps My Heart,"['Tick-A-Thumps My Heart', 'Tick']",1856,Babe,['Babe'],[None],,,,[None],,
4660,4660,Zeeman,['Zeeman'],735,Ciska Peters,['Ciska Peters'],[None],,,,[None],,
4664,4664,Kom Van Dat Dak Af [Live],['Kom Van Dat Dak Af [Live]'],2114,Peter Koelewijn en Zijn Rockets,['Peter Koelewijn en Zijn Rockets'],[None],,,,[None],,
4671,4671,Moeder Mag Ik Trouwen Gaan,['Moeder Mag Ik Trouwen Gaan'],2143,The Belcanto's,"[""The Belcanto's""]",[None],,,,[None],,
4688,4688,Lieve Bella Beer,['Lieve Bella Beer'],2147,Ron Brandsteder,['Ron Brandsteder'],[None],,,,[None],,
4692,4692,"Oeh, Wat 'n Volk","[""Oeh, Wat 'n Volk""]",1586,Normaal,['Normaal'],[None],,,,[None],,
4696,4696,Mama Mia,['Mama Mia'],828,Saskia & Serge,['Saskia & Serge'],[None],,,,[None],,
4711,4711,Vlieg Nooit Te Hoog,['Vlieg Nooit Te Hoog'],751,Bonnie St. Claire,['Bonnie St. Claire'],[None],,,,[None],,
4712,4712,Wake-Up,"['Wake-Up', 'Wake']",2132,Daniel Sahuleka,['Daniel Sahuleka'],[None],,,,[None],,
4717,4717,R.R. Express,['R.R. Express'],1561,Rose Royce,['Rose Royce'],[None],,,,[None],,
4726,4726,Your Love Still Brings Me To My Knees,['Your Love Still Brings Me To My Knees'],2161,Marcia Hines,['Marcia Hines'],[None],,,,[None],,
4737,4737,It's My Party !!! !!! And I'll Cry If I Want To,"[""It's My Party !!! !!! And I'll Cry If I Want To""]",2167,Dave Stewart with Barbara Gaskin,"['Dave Stewart with Barbara Gaskin', 'Dave Stewart ']",[None],,,,[None],,
4744,4744,Jantje Beton,['Jantje Beton'],5,Willeke Alberti,['Willeke Alberti'],[None],,,,[None],,
4770,4770,Lobo's Gospel Show,"[""Lobo's Gospel Show""]",2130,Lobo ((NLD)),['Lobo ((NLD))'],[None],,,,[None],,
4791,4791,Ev'rybody Feel The Groove,"[""Ev'rybody Feel The Groove""]",2132,Daniel Sahuleka,['Daniel Sahuleka'],[None],,,,[None],,
4794,4794,See You Tonight,['See You Tonight'],2185,Tower,['Tower'],[None],,,,[None],,
4797,4797,In Het Zuiden,['In Het Zuiden'],1049,Vader Abraham,['Vader Abraham'],[None],,,,[None],,
4801,4801,Many Rivers To Cross,['Many Rivers To Cross'],2161,Marcia Hines,['Marcia Hines'],[None],,,,[None],,
4802,4802,My Heart Lies,['My Heart Lies'],1996,Barbara Dickson,['Barbara Dickson'],[None],,,,[None],,
4804,4804,Oeh I Say,['Oeh I Say'],2188,Newz,['Newz'],[None],,,,[None],,
4812,4812,"Varkens, Geiten, Boerenkool","['Varkens, Geiten, Boerenkool']",2191,Riny v.d. Lee,['Riny v.d. Lee'],[None],,,,[None],,
4813,4813,Red Tape,['Red Tape'],1962,The Nits,['The Nits'],[None],,,,[None],,
4820,4820,(Spank) Sixty-Nine,"['(Spank) Sixty-Nine', 'Spank', 'Spank Sixty-Nine']",2196,Brooklyn Express,"['Brooklyn Express', 'Brooklyn E']",[None],,,,[None],,
4823,4823,The Girls Are Back In Town,['The Girls Are Back In Town'],2198,Risqué,['Risqué'],[None],,,,[None],,
4828,4828,Street Music,['Street Music'],2200,The Bang Gang,['The Bang Gang'],[None],,,,[None],,
4832,4832,Nooit Meer Verliefd,['Nooit Meer Verliefd'],2201,Peter Schreiber,['Peter Schreiber'],[None],,,,[None],,
4833,4833,Run Away,['Run Away'],2202,Solution,['Solution'],[None],,,,[None],,
4840,4840,"Jij Daar, In De Radio","['Jij Daar, In De Radio']",2207,Hank B. Memphis,['Hank B. Memphis'],[None],,,,[None],,
4852,4852,Zolang De Moter Loopt,['Zolang De Moter Loopt'],2114,Peter Koelewijn en Zijn Rockets,['Peter Koelewijn en Zijn Rockets'],[None],,,,[None],,
4856,4856,I'm Not Afraid Of The Future,"[""I'm Not Afraid Of The Future""]",2216,Future World Orchestra,['Future World Orchestra'],[None],,,,[None],,
4857,4857,Fantasy Island,['Fantasy Island'],1792,The Millionaires,['The Millionaires'],[None],,,,[None],,
4868,4868,Jamaica,['Jamaica'],2054,Doris D and The Pins,['Doris D and The Pins'],[None],,,,[None],,
4870,4870,Indian Habits (Hooka Heya),"['Indian Habits (Hooka Heya)', 'Indian Habits ', 'Hooka Heya', 'Indian Habits Hooka Heya']",1856,Babe,['Babe'],[None],,,,[None],,
4873,4873,Make It Alone,['Make It Alone'],2108,Powerplay,['Powerplay'],[None],,,,[None],,
